127.0.0.1 - - [21/Sep/2022:18:38:10 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:24 +0900] "GET /morae/index.jsp HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:24 +0900] "GET /morae/js/bootstrap.min.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:24 +0900] "GET /search.png HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:29 +0900] "GET /morae/bbs.jsp?boardID=2&pageNumber=1 HTTP/1.1" 200 4128
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:29 +0900] "GET /morae/js/bootstrap.min.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:29 +0900] "GET /morae/img/title.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:31 +0900] "GET /morae/write.jsp?boardID=2 HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:31 +0900] "GET /morae/css/custom.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:31 +0900] "GET /morae/css/bootstrap.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:31 +0900] "GET /morae/js/bootstrap.min.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:31 +0900] "GET /morae/img/title.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:38:33 +0900] "POST /morae/writeAction.jsp?boardID=2&keyValue=multipart HTTP/1.1" 500 3067
